ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction,Predicted_Satisfaction,Satisfaction_Probability%,Customer_Segment
28661,Male,21,Returning,Personal,Economy,2404,0,0.0,4,1,3,1,2,5,3,1,3,3,3,1,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28662,Female,12,Returning,Personal,Economy,2466,0,0.0,4,2,4,2,3,4,1,4,1,1,4,2,1,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.02,Dissatisfied(at risk)
28663,Male,17,Returning,Personal,Economy,2466,0,0.0,4,5,5,5,5,4,4,3,4,4,4,5,4,5,Satisfied,Satisfied,99.96,Highly Satisfied
28664,Female,48,Returning,Personal,Economy,2541,41,9.0,5,3,5,5,2,4,4,3,3,3,4,3,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.02,Dissatisfied(at risk)
28665,Female,66,Returning,Personal,Economy,2614,0,0.0,2,2,3,4,4,5,3,2,3,2,5,2,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.03,Dissatisfied(at risk)
28666,Female,17,Returning,Personal,Economy,2355,0,0.0,5,4,5,4,2,1,1,1,1,1,3,4,1,2,Neutral or Dissatisfied,Neutral or Dissatisfied,25.32,Dissatisfied(at risk)
28667,Male,12,Returning,Personal,Economy,2614,0,0.0,2,4,4,4,3,2,4,2,4,4,2,4,4,1,Neutral or Dissatisfied,Neutral or Dissatisfied,20.72,Dissatisfied(at risk)
28668,Male,43,Returning,Business,Economy Plus,2417,0,0.0,5,5,3,5,5,5,5,2,5,5,3,5,5,5,Satisfied,Satisfied,99.89,Highly Satisfied
28669,Male,36,First-time,Business,Economy Plus,2417,0,4.0,3,3,1,3,4,3,2,1,2,2,1,3,2,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.07,Dissatisfied(at risk)
28670,Male,31,Returning,Business,Economy Plus,2355,0,0.0,3,3,3,3,3,4,3,4,3,3,3,3,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,2.73,Dissatisfied(at risk)
28671,Male,44,Returning,Personal,Economy Plus,2541,0,0.0,5,2,1,2,2,2,2,5,2,2,3,2,2,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28672,Female,31,Returning,Personal,Economy Plus,2409,0,0.0,3,2,2,2,3,1,4,1,4,4,3,3,4,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.06,Dissatisfied(at risk)
28673,Male,46,Returning,Personal,Economy Plus,2404,16,0.0,1,4,2,4,4,3,3,2,3,3,3,4,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,13.84,Dissatisfied(at risk)
28674,Male,22,Returning,Business,Business,2797,0,0.0,3,3,4,4,3,3,4,5,4,4,4,3,4,4,Satisfied,Satisfied,98.71,Highly Satisfied
28675,Male,16,First-time,Business,Business,1309,0,1.0,4,5,2,5,1,4,2,4,2,5,4,5,4,5,Satisfied,Satisfied,100.0,Highly Satisfied
28676,Female,27,Returning,Business,Business,2777,2,0.0,5,5,3,5,5,4,5,1,5,5,2,5,5,3,Satisfied,Satisfied,99.86,Highly Satisfied
28677,Female,21,First-time,Business,Economy,1108,0,0.0,3,3,4,4,2,4,4,3,4,3,1,3,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,1.54,Dissatisfied(at risk)
28678,Male,41,Returning,Business,Business,2797,8,0.0,1,1,4,4,1,1,4,4,4,4,2,1,2,4,Satisfied,Satisfied,99.84,Highly Satisfied
28679,Female,57,Returning,Business,Business,2797,0,0.0,1,1,5,5,1,5,5,4,5,5,1,1,2,4,Satisfied,Satisfied,100.0,Highly Satisfied
28680,Female,21,First-time,Business,Economy,2777,0,0.0,5,5,1,5,4,5,2,1,2,2,1,5,2,5,Satisfied,Satisfied,99.83,Highly Satisfied
28681,Female,44,Returning,Business,Business,2777,3,0.0,2,2,4,5,2,3,5,5,1,5,3,2,3,3,Satisfied,Satisfied,100.0,Highly Satisfied
28682,Female,49,Returning,Business,Economy,2777,6,0.0,4,4,4,3,4,1,4,1,3,2,1,1,1,1,Neutral or Dissatisfied,Neutral or Dissatisfied,0.11,Dissatisfied(at risk)
28683,Female,48,Returning,Personal,Economy,2777,0,0.0,3,4,3,4,4,3,3,4,2,4,3,4,3,3,Satisfied,Neutral or Dissatisfied,23.06,Dissatisfied(at risk)
28684,Male,51,Returning,Personal,Economy,2797,0,0.0,0,3,3,3,3,1,2,4,2,2,3,3,2,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.05,Dissatisfied(at risk)
28685,Female,23,Returning,Personal,Economy,2777,96,87.0,1,1,5,5,4,3,5,4,5,1,4,1,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28686,Male,10,Returning,Personal,Economy,2777,0,0.0,2,3,5,5,4,1,5,4,5,3,1,3,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.14,Dissatisfied(at risk)
28687,Male,23,Returning,Personal,Economy,2777,0,0.0,2,2,3,2,4,2,2,5,2,2,4,2,2,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.16,Dissatisfied(at risk)
28688,Male,23,Returning,Personal,Economy,2797,0,0.0,3,0,2,0,4,3,1,1,3,3,4,1,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28689,Male,30,First-time,Business,Economy,1231,0,0.0,4,4,3,4,1,3,1,4,1,1,2,4,1,5,Satisfied,Neutral or Dissatisfied,28.69,Dissatisfied(at risk)
28690,Female,36,Returning,Business,Economy,2182,0,0.0,2,2,5,3,2,2,3,5,3,3,2,3,3,3,Satisfied,Satisfied,94.56,Highly Satisfied
28691,Male,30,Returning,Business,Business,2182,47,88.0,5,2,1,5,5,5,5,5,5,5,2,5,5,4,Satisfied,Satisfied,99.91,Highly Satisfied
28692,Female,23,First-time,Business,Economy,712,0,0.0,1,1,1,1,2,1,2,2,2,2,1,1,2,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28693,Male,46,Returning,Business,Business,2182,0,0.0,3,3,4,5,3,5,3,5,1,4,5,3,5,5,Satisfied,Satisfied,99.97,Highly Satisfied
28694,Female,23,Returning,Business,Business,2182,0,2.0,5,5,5,5,5,1,5,3,5,5,3,5,5,4,Satisfied,Satisfied,99.89,Highly Satisfied
28695,Female,43,Returning,Business,Business,2182,5,0.0,5,5,4,3,5,2,4,2,2,2,2,2,2,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.02,Dissatisfied(at risk)
28696,Male,23,Returning,Personal,Economy,2182,0,0.0,2,2,3,2,2,1,1,2,1,1,3,2,1,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.03,Dissatisfied(at risk)
28697,Female,65,Returning,Personal,Economy,2182,0,0.0,4,4,5,2,1,3,4,4,4,3,3,4,3,3,Satisfied,Satisfied,66.34,Neutral
28698,Male,30,Returning,Personal,Business,2172,3,13.0,5,2,5,2,4,4,4,4,4,4,4,1,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.02,Dissatisfied(at risk)
28699,Male,32,Returning,Business,Economy,2172,0,0.0,3,3,4,4,3,1,3,4,3,3,1,3,3,4,Satisfied,Satisfied,74.37,Neutral
28700,Female,50,Returning,Business,Economy,2172,0,0.0,4,5,4,3,4,5,5,5,4,2,5,5,5,5,Satisfied,Satisfied,99.95,Highly Satisfied
28701,Female,54,Returning,Business,Economy,2172,0,0.0,4,4,4,4,4,4,2,4,3,1,4,4,4,4,Satisfied,Satisfied,74.48,Neutral
28702,Male,53,Returning,Personal,Economy,2172,0,0.0,4,3,4,3,3,5,3,2,3,3,4,3,3,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.07,Dissatisfied(at risk)
28703,Female,43,Returning,Personal,Economy,2172,0,0.0,4,4,3,4,3,2,4,4,4,3,2,4,2,2,Neutral or Dissatisfied,Neutral or Dissatisfied,30.98,Dissatisfied(at risk)
28704,Male,48,Returning,Personal,Economy,2172,0,0.0,1,1,3,1,1,2,4,3,4,4,2,1,4,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.05,Dissatisfied(at risk)
28705,Male,41,Returning,Business,Economy Plus,2172,0,0.0,3,3,1,4,3,1,4,5,4,4,2,4,4,5,Satisfied,Satisfied,96.84,Highly Satisfied
28706,Female,14,Returning,Personal,Business,2554,0,0.0,4,4,3,1,4,2,3,4,3,4,3,4,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,36.66,Dissatisfied(at risk)
28707,Female,37,Returning,Personal,Business,2554,0,6.0,3,4,3,3,5,3,3,3,3,4,2,4,1,1,Neutral or Dissatisfied,Neutral or Dissatisfied,6.64,Dissatisfied(at risk)
28708,Male,32,Returning,Business,Economy,2717,0,10.0,5,5,5,5,5,5,5,5,5,5,4,5,1,1,Satisfied,Satisfied,99.99,Highly Satisfied
28709,Female,32,Returning,Business,Economy,2554,0,0.0,2,2,4,4,2,4,4,5,4,4,4,4,4,5,Satisfied,Satisfied,92.22,Highly Satisfied
28710,Male,27,Returning,Business,Economy,2554,10,0.0,5,5,2,2,5,2,2,3,2,2,3,2,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.15,Dissatisfied(at risk)
28711,Male,51,Returning,Business,Business,2717,0,3.0,5,5,5,5,5,2,5,4,5,5,1,5,3,1,Satisfied,Satisfied,100.0,Highly Satisfied
28712,Male,34,Returning,Business,Economy,2717,0,0.0,4,4,4,4,4,2,4,4,4,4,4,4,3,4,Satisfied,Satisfied,71.59,Neutral
28713,Female,61,Returning,Business,Economy,2554,0,0.0,4,4,3,3,4,4,3,1,3,3,4,3,4,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.55,Dissatisfied(at risk)
28714,Male,34,Returning,Business,Business,2554,0,0.0,1,1,4,4,1,4,4,3,4,4,3,1,5,4,Satisfied,Satisfied,99.78,Highly Satisfied
28715,Female,47,Returning,Business,Business,2554,8,19.0,5,5,3,3,5,1,3,4,3,3,1,3,3,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.8,Dissatisfied(at risk)
28716,Male,51,Returning,Business,Economy,1217,0,7.0,1,5,5,5,1,3,5,5,5,5,3,5,2,3,Satisfied,Satisfied,99.86,Highly Satisfied
28717,Female,21,First-time,Business,Economy,1069,0,0.0,4,4,2,2,4,3,2,3,2,4,3,4,3,4,Neutral or Dissatisfied,Neutral or Dissatisfied,48.47,Dissatisfied(at risk)
28718,Male,40,Returning,Business,Economy,1054,0,0.0,1,1,4,4,1,2,4,5,4,4,5,4,5,4,Satisfied,Satisfied,93.42,Highly Satisfied
28719,Male,28,Returning,Personal,Economy,2554,0,0.0,4,3,2,2,5,2,2,3,2,3,5,3,4,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.18,Dissatisfied(at risk)
28720,Female,54,Returning,Personal,Economy,2717,0,12.0,4,1,3,3,1,5,3,4,3,1,4,1,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.6,Dissatisfied(at risk)
28721,Female,65,Returning,Personal,Economy,2717,1,25.0,4,1,4,1,2,3,4,3,4,1,5,1,5,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28722,Male,40,Returning,Personal,Economy,2554,32,10.0,5,2,5,5,1,3,5,5,5,2,4,2,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.09,Dissatisfied(at risk)
28723,Female,40,Returning,Personal,Economy,2717,0,18.0,4,1,5,3,2,2,5,5,5,1,3,1,3,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.03,Dissatisfied(at risk)
28724,Female,51,Returning,Personal,Economy,2554,0,0.0,5,3,2,2,4,4,2,4,2,3,2,2,2,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28725,Female,37,Returning,Personal,Economy,2717,0,0.0,4,3,2,2,4,4,2,3,2,3,5,3,3,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.14,Dissatisfied(at risk)
28726,Female,35,Returning,Personal,Economy,2717,7,19.0,5,3,2,2,3,5,2,4,2,3,4,3,5,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.11,Dissatisfied(at risk)
28727,Female,45,Returning,Business,Economy Plus,2554,2,28.0,2,2,5,5,2,4,5,3,5,4,1,4,2,1,Satisfied,Satisfied,98.84,Highly Satisfied
28728,Female,32,Returning,Business,Economy Plus,2717,0,0.0,5,5,4,4,5,5,4,4,4,4,2,4,1,1,Satisfied,Satisfied,90.6,Highly Satisfied
28729,Male,30,First-time,Business,Business,2717,21,57.0,2,2,3,3,4,1,3,5,3,2,5,2,3,2,Neutral or Dissatisfied,Neutral or Dissatisfied,1.31,Dissatisfied(at risk)
28730,Female,40,Returning,Business,Business,2149,0,0.0,1,1,3,5,1,3,5,4,4,4,3,1,3,3,Satisfied,Satisfied,100.0,Highly Satisfied
28731,Male,28,First-time,Business,Economy,2149,0,0.0,3,3,5,3,5,3,3,2,3,3,3,3,3,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.23,Dissatisfied(at risk)
28732,Male,26,Returning,Business,Business,2149,0,0.0,1,1,4,5,1,2,5,2,5,5,5,1,5,4,Satisfied,Satisfied,100.0,Highly Satisfied
28733,Male,29,Returning,Business,Economy,2149,0,0.0,1,1,2,1,1,3,1,1,1,1,3,1,1,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.16,Dissatisfied(at risk)
28734,Female,38,Returning,Personal,Economy,2149,0,20.0,5,4,2,2,5,3,2,4,2,4,5,4,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,30.69,Dissatisfied(at risk)
28735,Male,28,Returning,Business,Business,2033,0,5.0,2,2,5,5,2,3,5,5,5,5,4,2,5,5,Satisfied,Satisfied,100.0,Highly Satisfied
28736,Male,42,Returning,Business,Economy,1024,0,31.0,5,2,5,5,5,5,5,5,5,5,2,5,5,3,Satisfied,Satisfied,99.93,Highly Satisfied
28737,Male,40,Returning,Business,Business,1024,0,0.0,1,1,4,4,1,3,2,3,4,2,3,1,3,3,Satisfied,Satisfied,98.25,Highly Satisfied
28738,Female,31,Returning,Business,Business,1988,0,0.0,3,1,4,4,3,1,3,1,3,3,2,3,3,4,Satisfied,Satisfied,76.63,Neutral
28739,Male,25,Returning,Business,Business,1024,0,30.0,5,5,2,3,5,4,3,5,3,3,4,3,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.48,Dissatisfied(at risk)
28740,Female,28,First-time,Business,Economy,1024,0,0.0,0,0,2,0,1,3,1,5,1,1,4,1,1,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28741,Male,34,Returning,Business,Business,1024,0,0.0,2,2,4,4,2,4,5,4,1,4,4,2,4,4,Satisfied,Satisfied,99.97,Highly Satisfied
28742,Female,23,Returning,Business,Business,3306,0,0.0,4,4,3,5,4,4,5,1,5,5,2,4,5,5,Satisfied,Satisfied,99.89,Highly Satisfied
28743,Female,45,Returning,Business,Economy,1024,0,13.0,1,1,1,4,1,2,3,2,3,2,2,2,2,2,Neutral or Dissatisfied,Neutral or Dissatisfied,1.99,Dissatisfied(at risk)
28744,Male,37,Returning,Business,Business,1024,0,14.0,2,2,3,3,2,5,1,5,4,1,5,2,5,5,Satisfied,Satisfied,99.91,Highly Satisfied
28745,Male,30,Returning,Business,Economy,1024,0,0.0,3,3,4,5,3,4,5,5,5,5,4,5,5,5,Satisfied,Satisfied,99.97,Highly Satisfied
28746,Male,10,Returning,Business,Business,1024,0,0.0,2,2,1,4,2,1,4,2,4,4,3,2,4,4,Satisfied,Satisfied,92.88,Highly Satisfied
28747,Female,8,First-time,Business,Economy,1024,0,0.0,4,4,4,4,3,4,3,1,5,5,3,4,5,3,Neutral or Dissatisfied,Neutral or Dissatisfied,4.84,Dissatisfied(at risk)
28748,Female,30,Returning,Business,Business,2901,0,0.0,5,5,4,1,5,1,1,5,1,1,3,1,1,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28749,Female,35,Returning,Business,Business,1024,0,0.0,2,1,3,3,2,4,2,4,1,4,4,4,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,5.4,Dissatisfied(at risk)
28750,Female,23,Returning,Business,Economy,1024,0,0.0,2,2,2,5,2,5,3,5,5,5,5,5,5,4,Satisfied,Satisfied,99.98,Highly Satisfied
28751,Female,31,Returning,Business,Business,3466,0,9.0,3,3,1,4,3,1,4,5,4,4,5,3,4,1,Satisfied,Satisfied,99.77,Highly Satisfied
28752,Male,48,Returning,Business,Economy,1024,21,17.0,3,3,4,4,3,3,4,2,4,4,5,4,4,1,Satisfied,Satisfied,99.85,Highly Satisfied
28753,Male,24,First-time,Business,Economy,1024,5,6.0,4,4,1,4,3,2,5,2,5,5,4,4,5,3,Neutral or Dissatisfied,Neutral or Dissatisfied,12.64,Dissatisfied(at risk)
28754,Female,28,Returning,Business,Economy,1024,0,0.0,3,3,3,5,3,2,5,4,5,5,4,5,5,2,Satisfied,Satisfied,99.98,Highly Satisfied
28755,Male,15,First-time,Business,Economy,1024,0,0.0,2,2,4,2,4,4,5,4,5,5,3,2,5,4,Neutral or Dissatisfied,Neutral or Dissatisfied,1.75,Dissatisfied(at risk)
28756,Male,37,First-time,Business,Economy,624,0,0.0,3,3,4,3,3,3,3,1,3,3,3,3,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.23,Dissatisfied(at risk)
28757,Male,38,First-time,Business,Economy,624,0,0.0,1,2,3,2,3,4,1,1,4,4,4,2,4,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.46,Dissatisfied(at risk)
28758,Male,35,Returning,Business,Economy,1024,0,0.0,3,3,2,2,3,2,2,1,2,2,3,2,2,3,Neutral or Dissatisfied,Neutral or Dissatisfied,3.05,Dissatisfied(at risk)
28759,Male,20,First-time,Business,Economy,624,0,0.0,0,3,5,3,3,3,5,1,5,5,1,3,5,1,Neutral or Dissatisfied,Neutral or Dissatisfied,0.51,Dissatisfied(at risk)
28760,Male,25,Returning,Personal,Economy,1024,0,0.0,4,2,5,2,1,3,1,3,1,1,5,2,1,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28761,Female,13,Returning,Personal,Economy,1024,0,0.0,5,0,2,0,2,1,4,1,4,4,4,1,4,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28762,Female,31,Returning,Personal,Economy,1024,0,0.0,5,3,4,3,3,5,4,2,4,4,5,3,4,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28763,Female,24,Returning,Personal,Economy,1024,0,42.0,5,2,3,2,1,4,2,5,2,2,4,2,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28764,Female,13,Returning,Personal,Economy,1024,0,0.0,5,2,1,2,5,5,5,3,5,5,4,2,5,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28765,Female,21,Returning,Personal,Economy,1024,0,0.0,4,4,5,4,3,3,4,4,4,4,4,4,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,35.02,Dissatisfied(at risk)
28766,Female,34,Returning,Personal,Economy,1024,0,0.0,3,3,1,3,4,2,5,5,5,5,5,3,5,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.07,Dissatisfied(at risk)
28767,Male,10,Returning,Personal,Economy,1024,0,0.0,5,4,3,4,3,5,2,4,2,2,5,4,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,27.2,Dissatisfied(at risk)
28768,Male,52,Returning,Business,Economy Plus,1024,0,8.0,3,3,3,3,3,3,3,5,3,3,3,3,3,4,Neutral or Dissatisfied,Neutral or Dissatisfied,6.31,Dissatisfied(at risk)
28769,Female,39,Returning,Business,Business,3380,0,0.0,2,3,4,5,3,3,5,3,4,2,3,3,3,3,Satisfied,Satisfied,99.94,Highly Satisfied
28770,Male,32,Returning,Business,Business,2458,3,20.0,3,3,3,4,3,4,4,5,4,4,5,3,4,4,Satisfied,Satisfied,99.88,Highly Satisfied
28771,Male,44,Returning,Business,Business,937,0,0.0,5,5,4,4,5,5,5,5,4,5,5,5,5,5,Satisfied,Satisfied,99.91,Highly Satisfied
28772,Female,30,Returning,Business,Business,1763,9,0.0,3,3,3,4,3,4,4,3,4,4,4,3,4,5,Satisfied,Satisfied,99.66,Highly Satisfied
28773,Female,59,Returning,Business,Business,3155,0,0.0,1,1,3,4,1,3,4,3,5,3,3,1,3,3,Satisfied,Satisfied,99.97,Highly Satisfied
28774,Female,52,Returning,Business,Business,954,0,0.0,3,3,5,5,3,5,4,5,3,2,5,3,5,5,Satisfied,Satisfied,99.99,Highly Satisfied
28775,Female,26,First-time,Business,Business,954,0,3.0,5,5,4,5,3,5,5,3,5,5,4,5,5,4,Satisfied,Satisfied,99.96,Highly Satisfied
28776,Male,28,First-time,Business,Business,987,57,54.0,5,5,5,5,2,4,2,4,3,3,4,5,3,4,Satisfied,Satisfied,99.97,Highly Satisfied
28777,Male,48,Returning,Business,Business,605,0,0.0,1,1,5,4,1,5,4,5,5,2,5,1,5,5,Satisfied,Satisfied,100.0,Highly Satisfied
28778,Male,50,Returning,Business,Business,679,0,0.0,5,5,3,4,5,4,4,4,3,4,4,5,4,4,Satisfied,Satisfied,99.96,Highly Satisfied
28779,Female,37,First-time,Business,Business,672,0,0.0,1,1,5,1,4,3,3,4,4,4,4,1,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.34,Dissatisfied(at risk)
28780,Male,25,First-time,Business,Business,679,77,77.0,0,4,4,4,5,3,3,5,3,3,5,4,3,5,Neutral or Dissatisfied,Satisfied,54.12,Neutral
28781,Male,8,Returning,Business,Business,2053,0,0.0,4,4,5,5,4,5,5,2,5,5,5,4,5,5,Satisfied,Satisfied,99.81,Highly Satisfied
28782,Male,40,Returning,Business,Business,2732,0,0.0,4,4,4,5,4,4,4,5,4,5,4,4,4,4,Satisfied,Satisfied,99.76,Highly Satisfied
28783,Female,52,Returning,Business,Business,1050,0,0.0,3,3,4,4,3,2,5,2,3,2,2,3,2,2,Satisfied,Satisfied,99.83,Highly Satisfied
28784,Female,30,Returning,Business,Business,2612,0,6.0,5,5,2,1,5,2,1,5,1,1,4,1,1,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28785,Female,39,Returning,Business,Business,2684,0,0.0,2,4,3,4,2,4,5,4,4,2,4,2,4,4,Satisfied,Satisfied,99.99,Highly Satisfied
28786,Female,31,Returning,Business,Business,605,0,0.0,2,2,2,2,2,2,2,1,2,2,4,2,2,4,Neutral or Dissatisfied,Neutral or Dissatisfied,1.98,Dissatisfied(at risk)
28787,Female,51,Returning,Business,Business,1050,0,0.0,3,2,3,5,3,5,4,5,4,4,5,3,5,5,Satisfied,Satisfied,99.96,Highly Satisfied
28788,Male,44,Returning,Business,Business,3866,0,0.0,5,5,1,3,5,3,3,3,2,3,3,3,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.03,Dissatisfied(at risk)
28789,Female,43,Returning,Personal,Business,679,0,0.0,5,4,3,4,2,2,4,4,4,2,2,4,2,2,Satisfied,Neutral or Dissatisfied,35.35,Dissatisfied(at risk)
28790,Male,10,Returning,Personal,Business,954,0,0.0,3,4,4,4,4,2,4,4,4,4,4,4,4,3,Neutral or Dissatisfied,Neutral or Dissatisfied,25.98,Dissatisfied(at risk)
28791,Female,54,Returning,Personal,Business,605,0,0.0,4,3,4,5,2,5,4,3,4,3,5,3,5,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.27,Dissatisfied(at risk)
28792,Male,21,Returning,Personal,Business,697,0,0.0,5,4,1,4,3,1,2,2,4,4,3,3,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.11,Dissatisfied(at risk)
28793,Male,59,Returning,Personal,Business,605,0,7.0,5,1,3,4,5,3,5,1,5,4,3,1,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.0,Dissatisfied(at risk)
28794,Female,63,Returning,Personal,Business,978,0,0.0,4,3,3,5,1,4,4,3,3,3,4,3,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,0.14,Dissatisfied(at risk)
28795,Male,54,Returning,Personal,Business,956,0,0.0,5,3,5,5,2,3,5,3,3,5,3,3,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.18,Dissatisfied(at risk)
28796,Female,42,Returning,Personal,Business,987,4,27.0,3,2,3,3,3,3,3,2,4,2,3,2,3,3,Neutral or Dissatisfied,Neutral or Dissatisfied,0.02,Dissatisfied(at risk)
28797,Male,32,Returning,Personal,Business,697,0,1.0,5,2,3,2,5,3,2,2,2,2,4,2,2,5,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28798,Female,33,Returning,Personal,Business,978,0,0.0,5,1,3,5,3,1,5,1,5,3,1,1,1,1,Neutral or Dissatisfied,Neutral or Dissatisfied,0.01,Dissatisfied(at risk)
28799,Male,48,First-time,Business,Economy,1050,0,6.0,1,1,3,1,4,2,1,4,1,1,2,2,1,1,Neutral or Dissatisfied,Neutral or Dissatisfied,1.02,Dissatisfied(at risk)
28800,Male,40,Returning,Business,Business,2585,0,0.0,4,4,4,1,4,3,5,3,1,1,3,4,3,3,Satisfied,Satisfied,99.96,Highly Satisfied
28801,Female,27,Returning,Business,Business,605,0,0.0,3,3,4,4,3,2,4,3,4,4,5,3,4,5,Satisfied,Satisfied,99.62,Highly Satisfied
28802,Female,22,Returning,Business,Economy,954,0,0.0,2,2,2,4,2,5,4,4,3,3,2,3,3,5,Satisfied,Satisfied,98.66,Highly Satisfied
28803,Male,22,Returning,Business,Business,954,3,0.0,1,1,5,5,1,4,5,1,5,5,5,1,5,5,Satisfied,Satisfied,100.0,Highly Satisfied
28804,Female,51,Returning,Business,Business,1809,0,0.0,1,1,5,1,1,4,1,4,3,2,4,1,4,4,Satisfied,Satisfied,99.93,Highly Satisfied
28805,Female,22,First-time,Business,Economy,1050,0,0.0,2,2,3,2,1,2,1,5,1,1,3,2,1,3,Neutral or Dissatisfied,Neutral or Dissatisfied,1.07,Dissatisfied(at risk)
28806,Male,40,Returning,Business,Economy,1050,32,33.0,4,3,1,5,4,4,5,3,5,5,3,5,5,5,Satisfied,Satisfied,99.99,Highly Satisfied
28807,Female,53,Returning,Business,Economy,978,5,0.0,2,2,4,3,2,3,2,4,1,3,3,4,3,3,Satisfied,Satisfied,60.41,Neutral
28808,Female,25,First-time,Business,Economy,978,45,52.0,5,5,1,5,1,4,4,5,4,4,2,5,4,3,Satisfied,Satisfied,99.97,Highly Satisfied
28809,Female,48,Returning,Business,Economy,978,0,3.0,5,2,3,2,5,5,3,5,5,2,5,5,5,5,Satisfied,Satisfied,99.93,Highly Satisfied
28810,Male,43,First-time,Business,Economy,697,40,24.0,2,2,4,2,2,1,3,1,3,3,2,2,3,5,Neutral or Dissatisfied,Neutral or Dissatisfied,5.83,Dissatisfied(at risk)
28811,Female,49,First-time,Business,Economy,954,0,0.0,3,3,5,3,2,4,5,2,4,4,3,2,4,2,Neutral or Dissatisfied,Neutral or Dissatisfied,0.34,Dissatisfied(at risk)
28812,Female,20,First-time,Business,Economy,954,0,15.0,2,2,2,2,4,1,4,3,4,4,1,2,4,4,Neutral or Dissatisfied,Neutral or Dissatisfied,3.26,Dissatisfied(at risk)
